Language,Dropped Gopher Above Avg Threshold Ratio,Dropped Gopher Above Avg Threshold Count,Dropped Gopher Below Avg Threshold Ratio,Dropped Gopher Below Avg Threshold Count,Dropped Stopwords Threshold Ratio,Dropped Stopwords Threshold Count,Dropped Alpha Ratio,Dropped Alpha Count,Dropped List Threshold Ratio,Dropped List Threshold Count,Total Processed,Total Processed (Quality filter),Dropped Total Ratio,Dropped Total Count,Total Retained Count,Total Retained Ratio
ms,0.023345505272227465,569,0.002215566405448652,54,0.12353834160751652,3011,0.10655233249907685,2597,0.05386814157235481,2318,99183,67404,0.3615957509940063,24373,40713,0.41048365143220106
tl,0.018322359003721728,192,0.0,0,0.2236854661704361,2344,0.05658936921461972,593,0.05623665989900568,4321,98170,87315,0.1200137433430682,10479,72515,0.7386676173983906
jv,0.0,0,0.0,0,0.0,0,0.0,0,0.17937219730941703,5160,39501,33228,0.134254243409173,4461,23607,0.5976304397357028
pa,0.38656175268070664,5011,0.00015428527347064721,2,0.05006557124122502,649,0.07235979325773355,938,0.0047556501653154585,315,95488,79200,0.16367424242424242,12963,65922,0.6903694705093834
bh,0.0,0,0.0,0,0.0,0,0.0,0,0.0011061946902654867,1,211,1321,0.315669947009841,417,903,4.279620853080568
gu,0.02448014082957421,445,0.0011002310485201893,20,0.1383540543514138,2515,0.3105952249972494,5646,0.029732469207850845,1936,97964,83292,0.2182442491475772,18178,63178,0.644910375239884
yo,0.0,0,0.0,0,0.0,0,0.0,0,0.2663769015833592,858,2287,5155,0.3751697381183317,1934,2363,1.0332313073895933
mr,0.007351881216664264,102,0.00014415453366008361,2,0.1711835087213493,2375,0.13168516649848638,1827,0.030262060236458305,2104,98855,83400,0.16635491606714628,13874,67422,0.6820292347377472
ur,0.12057692307692308,1254,0.0,0,0.05153846153846154,536,0.09,936,0.08392869724512084,5956,99073,81365,0.12781908683094698,10400,65009,0.6561727211248272
am,0.005064359569529437,48,0.0,0,0.13684321586832665,1297,0.030491664908208482,289,0.07475654396021825,5412,93958,81873,0.11576465990008916,9478,66983,0.7129036377956108
te,0.0062514207774494205,220,0.0023584905660377358,83,0.6437258467833599,22654,0.061746987951807226,2173,0.030620163632735415,1381,98439,80293,0.43829474549462594,35192,43720,0.4441329148000284
ml,0.001704128103422947,58,0.0027030997502570883,92,0.572028793888644,19469,0.0417511385338622,1421,0.05109979070410299,2588,98894,84681,0.40192014737662524,34035,48058,0.48595465852326736
kn,0.007392804337111878,150,0.0046821094135041895,95,0.43021192705766387,8729,0.059438146870379495,1206,0.07947719955792609,4962,98116,82723,0.24527640438572101,20290,57471,0.5857454441681276
ne,0.0039890301670406384,48,0.0,0,0.27898279730740466,3357,0.281226626776365,3384,0.010088661836805601,784,99318,89744,0.13408138705651632,12033,76927,0.7745524476932681
kk,0.0033480320104523928,82,0.0002449779519843214,6,0.5014698677119059,12282,0.08280254777070063,2028,0.03498461196188216,1887,98993,78430,0.31227846487313526,24492,52051,0.5258048548887295
be,0.0334945242497511,471,0.0006400227563646707,9,0.07616270800739582,1071,0.1161285734603897,1633,0.08199570750581905,5425,98286,80224,0.17528420422816116,14062,60737,0.6179618663899232
my,0.03539426523297491,1896,0.009072580645161291,486,0.6995967741935484,37476,0.004274940262843489,229,0.09542185581476934,1632,97726,70671,0.7579912552532156,53568,15471,0.15830996868796432
eo,0.06052041711334178,1242,0.0007796511061300068,16,0.0799142383783257,1640,0.14954682779456194,3069,0.25284339457567806,11271,97625,65099,0.31524293767953426,20522,33306,0.34116261203585146
uz,0.0028941516959023047,82,0.2738149860586595,7758,0.22390851657078317,6344,0.031165072530265063,883,0.07306619637437455,3563,97751,77097,0.36749808682568713,28333,45201,0.46240959171773177
km,0.037063933941203366,1378,0.0,0,0.3538556712122435,13156,0.0060518034374243525,225,0.11626731087951908,4139,97267,72778,0.5108549286872407,37179,31460,0.3234396043879219
tg,0.006142569555567026,119,0.00030970938935632065,6,0.46471893872915915,9003,0.03608114386001136,699,0.11159127561964707,7127,97159,83240,0.23273666506487264,19373,56740,0.5839911896993588
cy,0.0034868783262984033,38,0.0,0,0.06625068819966966,722,0.15507432556432374,1690,0.1198610568103215,7971,97356,77400,0.14080103359173127,10898,58531,0.6012058835613624
nn,0.010234705656021546,133,7.695267410542516e-05,1,0.00715659869180454,93,0.14267025779145825,1854,0.06568393013893513,4340,96602,79069,0.16435012457473852,12995,61734,0.6390550920270802
bs,0.062347006898598026,1681,0.00029671389362806916,8,0.09884281581485053,2665,0.09320525183591721,2513,0.2041037653999653,4705,96789,50014,0.5390890550645819,26962,18347,0.18955666449699862
si,0.01403022821701692,233,0.0009032335762028061,15,0.24881074245799964,4132,0.0675618714999699,1122,0.03888985420253684,2462,96496,79914,0.20781089671396752,16607,60845,0.6305442712651301
tt,0.03982946258274431,710,0.0034219679120385954,61,0.474138898238528,8452,0.025300123415236173,451,0.06476648817189724,3822,95306,76838,0.2319945860121294,17826,55190,0.5790821144523954
af,0.038851974898486526,421,0.0,0,0.022702104097452935,246,0.02630121816168328,285,0.04913456169737577,3608,96538,84267,0.1285912634839261,10836,69823,0.7232695933207649
or,0.17425499675301248,2415,0.0011544844505375568,16,0.20968323832888375,2906,0.029800129879500686,413,0.008930637805459125,656,93986,87314,0.1587259775064709,13859,72799,0.7745728087161917
ky,0.00605454090567926,121,0.0019514635976982738,39,0.3774831123342507,7544,0.0673505128846635,1346,0.1109987683144291,6038,95560,74382,0.2686805947675513,19985,48359,0.506059020510674
ga,0.014108472172988303,199,0.0002835873803615739,4,0.0630272952853598,889,0.09259127968805388,1306,0.14818935718842258,9989,94661,81512,0.17304200608499362,14105,57418,0.6065644774511151
oc,0.0051922708344223165,298,0.0068301012318575435,392,0.00451274545676302,259,0.8437440105936264,48425,0.08134047404422291,1534,92796,76252,0.752675339663222,57393,17325,0.18669985775248932
ku,0.013588912886969043,302,0.0013498920086393088,30,0.050665946724262056,1126,0.48560115190784736,10792,0.2671960454354228,15243,94034,79272,0.28035119588253105,22224,41805,0.4445732394665759
lo,0.053939834590566206,1187,0.0,0,0.3374988639461965,7427,0.015177678814868673,334,0.4255466138880072,22791,91619,75563,0.2912271879094266,22006,30766,0.3358037088376865
lb,0.028871391076115485,363,0.0,0,0.07603595005169808,956,0.006601447546329436,83,0.12059815134455001,7476,91620,74564,0.16862024569497344,12573,54515,0.5950120061122026
ba,0.041794890145280185,1168,0.028340370714950262,792,0.34738424103628424,9708,0.031131467830816575,870,0.08660890452088874,5048,92400,86231,0.3240829863970034,27946,53237,0.5761580086580087
fy,0.0959033862183282,810,0.0,0,0.020719867392848687,175,0.05268766279895808,445,0.15110688008261264,9365,78781,70422,0.11993411149924739,8446,52611,0.6678133052385727
ps,0.011034299388460516,83,0.0,0,0.07976601967561818,600,0.20606221749534698,1550,0.01925382730637566,1108,69243,65069,0.11560036269191167,7522,56439,0.8150860014730731
mt,0.0035911602209944752,26,0.00013812154696132598,1,0.025138121546961326,182,0.08839779005524862,640,0.05969068582020389,4122,84039,76296,0.09489357240222292,7240,64934,0.7726650721688739
as,0.16180019305019305,1341,0.0,0,0.1241554054054054,1029,0.0986969111969112,818,0.006491915727584518,265,52680,49108,0.16877087236295513,8288,40555,0.7698367501898253
mg,0.0020896656534954406,22,0.0,0,0.011683130699088147,123,0.03352963525835866,353,0.11221542227662179,4584,63010,51378,0.20491260850947876,10528,36266,0.5755594350103158
dv,0.02065871797898713,175,0.001180498170227836,10,0.31790815724235627,2693,0.06598984771573604,559,0.06864212875342504,2430,48223,43872,0.19308442742523704,8471,32971,0.6837193870144952
yi,0.012306811677160847,215,5.7240984544934173e-05,1,0.4736691471093303,8275,0.18185460789925587,3177,0.14432595284778346,3018,40401,38381,0.4551731325395378,17470,17893,0.44288507710205194
so,0.0002794076557697681,1,0.0002794076557697681,1,0.24923162894663314,892,0.0002794076557697681,1,0.005004984216647284,241,46790,51731,0.06918482148035027,3579,47911,1.023958110707416
sa,0.00669383003492433,69,9.701202949165696e-05,1,0.326639503298409,3367,0.10826542491268917,1116,0.012396354979065757,151,26614,22489,0.45835741918271156,10308,12030,0.4520177350266777
sd,0.614624718135939,5724,0.0,0,0.0346827015999141,323,0.006657360678621282,62,0.0036481692215007697,109,37893,39191,0.23763108877038094,9313,29769,0.7856068403135144
tk,0.003176584037665211,56,5.6724714958307334e-05,1,0.1337001531567304,2357,0.012479437290827613,220,0.12019027484143763,3411,49662,46009,0.38316416353322175,17629,24969,0.5027787845837864
azb,0.012347684809098295,76,0.0,0,0.19480097481722178,1199,0.029406986190089357,181,0.3230375356154767,7823,26117,30372,0.20265376004214408,6155,16394,0.6277137496649692
ckb,0.01622316747452765,164,0.0,0,0.055594025126125234,562,0.060935799782372145,616,0.1267838117675305,8449,95261,76750,0.13171335504885995,10109,58192,0.6108690859848207
ceb,0.05950500263296472,1921,0.00027878449958182325,9,0.03648979338970976,1178,0.43688628690022613,14104,0.060044827179426684,1018,71572,49237,0.6556654548408717,32283,15936,0.22265690493489074
war,0.07767659365001231,1578,0.00034457297563376813,7,0.034211174009352696,695,0.6792025596849619,13798,0.17178741219044916,2421,40359,34408,0.5904150197628458,20315,11672,0.2892043905944151
